MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
66687|Santuario|Risaralda|322|1,327|60|25|33|26|16|213
52720|Sapuyes|Nariño|305|0,663|52|37|39|15|10|93
81736|Saravena|Arauca|308|0,408|61|36|32|19|13|1074
54720|Sardinata|Norte De Santander|313|0,714|66|33|29|23|15|513
25718|Sasaima|Cundinamarca|300|1,173|61|39|34|17|11|178
15720|Sativanorte|Boyacá|337|0|60|28|19|28|25|36
15723|Sativasur|Boyacá|321|0|26|9|64|27|0|11
05736|Segovia|Antioquia|270|0,51|53|60|28|8|4|726
25736|Sesquilé|Cundinamarca|298|0,765|60|39|33|17|11|193
76736|Sevilla|Valle Del Cauca|302|0,714|58|40|34|16|11|531
15740|Siachoque|Boyacá|311|0,867|60|32|35|22|11|143
25740|Sibaté|Cundinamarca|306|0,204|62|34|34|19|12|616
86749|Sibundoy|Putumayo|316|0,561|59|27|35|25|14|301
54743|Silos|Norte De Santander|316|1,531|65|25|44|19|13|110
25743|Silvania|Cundinamarca|317|0,459|60|31|30|23|16|346
19743|Silvia|Cauca|268|0,51|51|63|25|9|4|597
68745|Simacota|Santander|297|1,224|53|38|37|20|6|177
25745|Simijaca|Cundinamarca|333|0,663|67|21|31|25|23|244
13744|Simití|Bolívar|289|0,714|56|49|33|11|8|332
70001|Sincelejo|Sucre|293|0,153|58|46|29|15|10|5087
27745|Sipí|Chocó|279|1,02|47|55|26|19|0|69
47745|Sitionuevo|Magdalena|257|0,765|47|72|18|7|3|473
25754|Soacha|Cundinamarca|306|0,102|59|36|34|19|12|9732
15753|Soatá|Boyacá|322|0,918|56|23|35|27|15|120
